id,category,family,name,frequency,unit,source,code,transform,bond_direction,weight
hrc_inventory,inventory,钢材库存,热轧卷板库存,weekly,万吨,CJHX,CJHX:HRC_INVENTORY,pct_change,1,0.4
wire_inventory,inventory,钢材库存,线材库存,weekly,万吨,CJHX,CJHX:WIRE_INVENTORY,pct_change,1,0.3
vegetable_price,prices,食品,28种重点监测蔬菜均价,daily,元/公斤,CJHX,CJHX:VEGETABLE_28_PRICE,pct_change,-1,0.4
fruit_price,prices,食品,7种重点监测水果均价,daily,元/公斤,CJHX,CJHX:FRUIT_7_PRICE,pct_change,-1,0.3
beef_price,prices,食品,牛肉批发价,daily,元/公斤,CJHX,CJHX:BEEF_PRICE,pct_change,-1,0.3
mutton_price,prices,食品,羊肉批发价,daily,元/公斤,CJHX,CJHX:MUTTON_PRICE,pct_change,-1,0.3
egg_price,prices,食品,鸡蛋批发价,daily,元/公斤,CJHX,CJHX:EGG_PRICE,pct_change,-1,0.3
chicken_price,prices,食品,白条鸡批发价,daily,元/公斤,CJHX,CJHX:CHICKEN_PRICE,pct_change,-1,0.3
lme_zinc,prices,有色,LME锌价,daily,美元/吨,iFinD,IFIND:LME_ZINC,pct_change,-1,0.3
aluminum_price,prices,有色,A00铝现货均价,daily,元/吨,iFinD,IFIND:ALUMINUM_A00,pct_change,-1,0.3
nickel_price,prices,有色,1#镍板现货均价,daily,元/吨,iFinD,IFIND:NICKEL_1,pct_change,-1,0.3
nanhua_agri,prices,食品,南华农产品指数,daily,指数,iFinD,IFIND:NANHUA_AGRI,pct_change,-1,0.35
nanhua_energy,prices,工业品综合,南华能化指数,weekly,指数,iFinD,IFIND:NANHUA_ENERGY,pct_change,-1,0.35
nanhua_metals,prices,工业品综合,南华金属指数,weekly,指数,iFinD,IFIND:NANHUA_METALS,pct_change,-1,0.35
wti,prices,能源,WTI原油期货,daily,美元/桶,iFinD,IFIND:WTI,pct_change,-1,0.4
thermal_coal_futures,prices,能源,动力煤期货结算价,daily,元/吨,iFinD,IFIND:THERMAL_COAL_FUTURES,pct_change,-1,0.3
coke_futures,prices,黑色,焦炭期货结算价,daily,元/吨,iFinD,IFIND:COKE_FUTURES,pct_change,-1,0.3
coking_coal_futures,prices,黑色,焦煤期货结算价,daily,元/吨,iFinD,IFIND:COKING_COAL_FUTURES,pct_change,-1,0.3
iron_ore_futures,prices,黑色,铁矿石期货结算价,daily,元/吨,iFinD,IFIND:IRON_ORE_FUTURES,pct_change,-1,0.3
hot_rolled_price,prices,黑色,热轧板卷现货价,daily,元/吨,iFinD,IFIND:HRC_SPOT,pct_change,-1,0.3
steel_plate_index,prices,黑色,钢材价格指数：板材,weekly,指数,CJHX,CJHX:STEEL_PLATE_INDEX,pct_change,-1,0.3
steel_long_index,prices,黑色,钢材价格指数：长材,weekly,指数,CJHX,CJHX:STEEL_LONG_INDEX,pct_change,-1,0.3
cement_east,prices,建材,水泥价格指数：华东,daily,指数,CJHX,CJHX:CEMENT_PRICE_EAST,pct_change,-1,0.3
cement_yangtze,prices,建材,水泥价格指数：长江,daily,指数,CJHX,CJHX:CEMENT_PRICE_YANGTZE,pct_change,-1,0.3
lithium_price,prices,新能源材料,碳酸锂价格,daily,元/吨,iFinD,IFIND:LITHIUM_CARBONATE,pct_change,-1,0.3
rare_earth_index,prices,新能源材料,稀土价格指数,daily,指数,iFinD,IFIND:RARE_EARTH_INDEX,pct_change,-1,0.3
titanium_price,prices,化工品,钛白粉现货价,daily,元/吨,iFinD,IFIND:TITANIUM_DIOXIDE,pct_change,-1,0.3
gold_spot,prices,贵金属,伦敦现货黄金,daily,美元/盎司,iFinD,IFIND:GOLD_SPOT,pct_change,1,0.2
silver_spot,prices,贵金属,伦敦现货白银,daily,美元/盎司,iFinD,IFIND:SILVER_SPOT,pct_change,1,0.2
gasoline_retail,prices,能源,汽油零售价,weekly,元/吨,CJHX,CJHX:GASOLINE_RETAIL,pct_change,-1,0.2
ccfi,trade,集装箱运价,CCFI,weekly,点,CJHX,CJHX:CCFI,pct_change,-1,0.5
bci,trade,干散货运价,好望角型运费指数 BCI,daily,点,iFinD,IFIND:BCI,pct_change,-1,0.4
bpi,trade,干散货运价,巴拿马型运费指数 BPI,daily,点,iFinD,IFIND:BPI,pct_change,-1,0.4
eurusd,fx,外部美元环境,EUR/USD,daily,,iFinD,IFIND:EURUSD,pct_change,-1,0.3
usdjpy,fx,海外利差,USD/JPY,daily,,iFinD,IFIND:USDJPY,pct_change,-1,0.3
